Task,Count of tasks_to_dwas.csv
"Care for individuals or families during periods of incapacitation, family disruption, or convalescence, providing companionship, personal care, or help in adjusting to new lifestyles.",1
"Care for established lawns by mulching, aerating, weeding, grubbing, removing thatch, or trimming or edging around flower beds, walks, or walls.",1
Care for children with disabilities or who have sick parents or parents with disabilities.,1
"Care for children in institutional setting, such as group homes, nursery schools, private businesses, or schools for people with disabilities.",1
"Care for athletic injuries, using physical therapy equipment, techniques, or medication.",2
"Care for artificial turf fields, periodically removing the turf and replacing cushioning pads or vacuuming and disinfecting the turf after use to prevent the growth of harmful bacteria.",1
"Care for and treat women during prenatal, natal, and postnatal periods.",1
Care for and monitor the condition of animals recovering from surgery.,1
"Capture or segregate waste material, such as aluminum swarf, machine cutting fluid, or solvents, for recycling or environmentally responsible disposal.",1
"Capture and remove stray, uncontrolled, or abused animals from undesirable conditions, using nets, nooses, or tranquilizer darts as necessary.",2
"Cap wells with packers, or turn valves, to regulate outflow of oil from wells.",1
Cancel orders based on customer requests or inventory or delivery problems.,1
Cancel letter or parcel post stamps by hand.,1
Call upon witnesses to testify at hearing.,1
"Call police or fire departments in cases of emergency, such as fire, bomb threats, and presence of unauthorized persons.",1
"Call police or fire departments in cases of emergency, such as fire or presence of unauthorized persons.",1
Call patients to inquire about their post-operative status or recovery.,2
Call out train signals to assistants to verify meanings.,1
"Call or meet with union, company, government, or other interested parties to discuss labor relations matters, such as contract negotiations or grievances.",1
"Call on policyholders to deliver and explain policy, to analyze insurance program and suggest additions or changes, or to change beneficiaries.",2
"Call emergency responders or the proper authorities and provide motorist assistance, such as giving directions or helping jump start a stalled vehicle.",2
Call customers to collect payment on delinquent accounts.,2
"Calibrate, validate, or maintain laboratory equipment.",2
"Calibrate, troubleshoot, or repair equipment and correct malfunctions, as needed.",2
"Calibrate vehicle systems, including control algorithms or other software systems.",1
Calibrate testing instruments.,1
Calibrate testing instruments and installed or repaired equipment to prescribed specifications.,1
"Calibrate or maintain machines, such as those used for plasma collection.",1
"Calibrate or adjust equipment to ensure quality production, using tools such as calipers, micrometers, height gauges, protractors, or ring gauges.",1
"Calibrate nanotechnology equipment, such as weighing, testing, or production equipment.",1
Calibrate microscopes or test instruments.,1
Calibrate magnetic resonance imaging (MRI) console or peripheral hardware.,1
"Calibrate liquid flow devices or meters, including fuel, chemical, and water meters.",1
"Calibrate liquid flow devices and meters, including fuel, chemical, and water meters.",1
"Calibrate instrumentation, such as meters, gauges, and regulators, for pressure, temperature, flow, and level.",1
Calibrate exercise or testing equipment.,1
"Calibrate devices by comparing measurements of pressure, temperature, humidity, or other environmental conditions to known standards.",1
Calibrate data collection equipment.,1
"Calibrate and verify accuracy of light meters, shutter diaphragm operation, or lens carriers, using timing instruments.",1
"Calibrate and test equipment, and locate circuit and component faults, using hand and power tools and measuring and testing instruments such as resistance meters and oscilloscopes.",2
Calibrate and test anesthesia equipment.,2
"Calibrate and maintain chemical instrumentation sensing elements and sampling system equipment, using calibration instruments and hand tools.",2
"Calibrate and align components, using scales, gauges, and other measuring instruments.",1
"Calculate, review, and correct errors on interest, principal, payment, and closing costs, using computers or calculators.",2
"Calculate, prepare, and issue bills, invoices, account statements, and other financial statements according to established procedures.",1
"Calculate, or verify calculations of, prescribed radiation doses.",2
"Calculate, measure, or prepare radioisotope dosages.",2
"Calculate, measure, load, or mix refined feedstock used in biofuels production.",3
"Calculate, measure, load, or mix biomass feedstock for power generation.",3
"Calculate, measure, and record radiation dosage or radiopharmaceuticals received, used, and disposed, using computer and following physician's prescription.",2
"Calculate weights, volumes, and stress factors and their implications for technical aspects of designs.",1
"Calculate weight, volume, or cost of goods to be moved.",1
Calculate valve areas from blood flow velocity measurements.,1
"Calculate total payments received during a time period, and reconcile this with total sales.",2
"Calculate total board feet, cordage, or other wood measurement units, using conversion tables.",1
"Calculate the value of property based on comparisons to recent sales, estimated cost to reproduce, and anticipated property income streams.",1
Calculate the value of chips won or lost by players.,1
Calculate the exact horizontal and vertical position of points on the Earth's surface.,1
Calculate the efficiency or power output of a fuel cell system or process.,1
"Calculate the delivery of radiation treatment, such as the amount or extent of radiation per session, based on the prescribed course of radiation therapy.",2
"Calculate test result values, using standard formulas.",1
Calculate tax bills for properties by multiplying assessed values by jurisdiction tax rates.,1
"Calculate sightings of land, using electronic sounding devices and following contour lines on charts.",1
Calculate sample size requirements for clinical studies.,1
Calculate safe radiation exposure times for personnel using plant contamination readings and prescribed safe levels of radiation.,1
"Calculate revenue, sales, and expenses, using financial accounting or spreadsheet software.",1
Calculate required capacities for equipment of proposed system to obtain specified performance and submit data to engineering personnel for approval.,1
"Calculate purchase subtotals, taxes, and shipping costs for submission to customers.",1
"Calculate premiums, refunds, commissions, adjustments, or new reserve requirements, using insurance rate standards.",2
Calculate premiums and establish payment method.,2
"Calculate potential solar resources or solar array production for a particular site considering issues such as climate, shading, and roof orientation.",1
Calculate potential for energy savings.,2
Calculate potential energy savings by comparing estimated energy consumption of proposed design to baseline standards.,1
"Calculate or monitor budgets for maintenance or development of collections, grounds, or infrastructure.",1
Calculate material requirements or yields according to formulas.,1
Calculate machine speed and feed ratios and the size and position of cuts.,1
"Calculate load weights for different aircraft compartments, using charts and computers.",1
Calculate load estimates or equipment requirements to determine required control settings.,1
"Calculate latitudes, longitudes, angles, areas, or other information for mapmaking, using survey field notes or reference tables.",1
"Calculate labor and equipment requirements and production specifications, using standard formulas.",1
"Calculate heights, depths, relative positions, property lines, and other characteristics of terrain.",1
Calculate heat loss and heat gain factors for residential properties to determine heating and cooling required by installed geothermal systems.,1
"Calculate heat loss and gain of buildings and structures to determine required equipment specifications, following standard procedures.",1
"Calculate gross and net tonnage, hold capacities, volumes of stored fuel and water, cargo weights, and vessel stability factors, using mathematical formulas.",1
"Calculate gas ratios to detect deviations from specifications, using testing apparatus.",1
Calculate form preparation fees according to return complexity and processing time required.,1
"Calculate figures, such as required amounts of labor or materials, manufacturing costs, or wages, using pricing schedules, adding machines, calculators, or computers.",1
Calculate excavation tonnage and prepare graphs and fill-hauling diagrams for use in earth-moving operations.,3
Calculate etching time based on thickness of material to be removed from wafers or crystals.,1
"Calculate equipment operating factors, such as radiation times, dosages, temperatures, gamma intensities, or pressures, using standard formulas and conversion tables.",1
"Calculate energy losses for buildings, using equipment such as computers, combustion analyzers, or pressure gauges.",1
Calculate duty and tariff payments owed on shipments.,1
Calculate draft space and roll speed for each mill stand to plan rolling sequences and specified dimensions and tempers.,1
"Calculate dimensions, square footage, profile and component specifications, and material quantities, using calculator or computer.",1
"Calculate dimensions or tolerances, using instruments, such as micrometers or vernier calipers.",2
"Calculate design specifications or cost, material, and resource estimates, and prepare project schedules and budgets.",3
"Calculate costs of orders, and charge or forward invoices to appropriate accounts.",1
"Calculate costs of materials, overhead, and other expenses, based on estimates, quotations and price lists.",1
Calculate costs for billings or commissions.,1
Calculate corrections for refractive errors.,1
Calculate clients' available monthly income to meet debt obligations.,1
"Calculate bills according to record of repairs made, labor time, and parts used.",1
Calculate applicable government grain quotas.,1
Calculate angles and courses and determine vertical and horizontal alignment of courses.,1
Calculate and record department expenses and revenue.,1
"Calculate and quote rates for tours, stocks, insurance policies, or other products or services.",1
"Calculate and prepare checks for utilities, taxes, and other payments.",1
"Calculate and compile order-related statistics, and prepare reports for management.",2
"Calculate amounts of required materials and estimate costs, based on surface measurements or work orders.",2
"Calculate amounts of materials to be loaded into furnaces, adjusting amounts as necessary for specific conditions.",1
Calculate amount of debt and funds available to plan methods of payoff and to estimate time for debt liquidation.,1
Calculate amount of claim.,1
Calculate actual treatment dosages delivered during each session.,1
"Cable, brace, tie, bolt, stake, and guy trees and branches to provide support.",1
"Buy or sell stocks, bonds, commodity futures, foreign currencies, or other securities on behalf of investment dealers.",1
Buy merchandise or commodities for resale to wholesale or retail consumers.,1
"Buy and sell jewelry, or serve as agents between buyers and sellers.",2
"Butcher and dress animals, fowl, or shellfish, or cut and bone meat prior to cooking.",1
"Butcher and clean fowl, fish, poultry, and shellfish to prepare for cooking or serving.",1
"Bundle, label, and route sorted mail to designated areas, depending on destinations and according to established procedures and deadlines.",2
Bundle mail in preparation for delivery or transportation to relay boxes.,1
"Build, test, and modify product prototypes, using working models or theoretical models constructed with computer simulation.",2
"Build, repair, and install wooden steps, scaffolds, and walkways to gain access to or permit improved view of exhibited equipment.",1
"Build, configure, or test robots or robotic applications.",3
"Build wooden molds, clamping molds around areas to be repaired, or setting up frames to the proper depth and alignment.",2
"Build wooden molds, and clamp molds around area to be repaired, using hand tools.",2
Build wheels by cutting and threading new spokes.,1
"Build underbeds and install anchor bolts, wires, and brackets.",1
Build sleds from logs and timbers for use in hauling camp buildings and machinery through wooded areas.,1
Build semi-raw rubber treads onto buffed tire casings to prepare tires for vulcanization in recapping or retreading processes.,1
"Build prototype optomechanical devices for use in equipment such as aerial cameras, gun sights, or telescopes.",1
"Build or repair cabinets, doors, frameworks, floors, or other wooden fixtures used in buildings, using woodworking machines, carpenter's hand tools, or power tools.",1
Build or assemble robotic devices or systems.,1
Build models for algorithm or control feature verification testing.,1
Build jigs that can be used as guides for assembling oversized or special types of box shooks.,1
Build instrumentation or laboratory test equipment for special purposes.,1
"Build hutches, pens, and fenced yards.",1
"Build furniture up with loose fiber stuffing, cotton, felt, or foam padding to form smooth, rounded surfaces.",1
Build forms and mix and pour cement to form garden borders.,2
"Build fiberglass or wooden enclosures for sound components, and fit them to automobile dimensions.",1
Build containment areas prior to beginning abatement or decontamination work.,1
Build and update digital databases.,1
"Build and shape wax teeth, using small hand instruments and information from observations or dentists' specifications.",1
"Build and maintain databases of information about energy alternatives, pollutants, natural environments, industrial processes, and other information related to ecological change.",1
Buff tires according to specifications for width and undertread depth.,1
"Buff defective areas of inner tubes, using scrapers.",1
Buff and wax the finished paintwork.,1
Buff and vacuum floors to ensure their cleanliness prior to the application of finish.,2
Budget and schedule security design work.,1
Buckle seatbelts or fasten wheelchair tie-down straps to secure passengers for transportation.,1
"Brush, spray, or hand-rub finishing ingredients, such as paint, oil, stain, or wax, onto and into wood grain and apply lacquer or other sealers.",1
Brush or wipe acid over engraving to darken or highlight inscriptions.,1
"Brush or spray solvents onto plies to ensure adhesion, and repeat process as specified, alternating direction of each ply to strengthen tires.",1
"Brush or spray protective or decorative finishes on completed background panels, informational legends, exhibit accessories, or finished paintings.",1
Brush or spray mold surfaces with parting agents or insert paper into molds to ensure smoothness and prevent sticking or seepage.,1
"Brush or spray lubricating compounds on workpieces, or turn valve handles and direct flow of coolant against tools and workpieces.",2
"Brush materials made of suede, leather, or felt to remove spots or to raise and smooth naps.",1
"Brush glue onto manila paper on which design has been drawn and position tiles, finished side down, onto paper.",1
Brush bleaching agents on wood surfaces to restore natural color.,1
"Broadcast weather conditions, forecasts, or severe weather warnings to the public via television, radio, or the Internet or provide this information to the news media.",1
"Bring wine selections to tables with appropriate glasses, and pour the wines for customers.",1
Brief workers on radiation levels in work areas.,1
"Brief crews about flight details, such as destinations, duties, and responsibilities.",1
"Brew coffee and tea, and fill containers with requested beverages.",1
Break up defective products for reprocessing.,1
"Break up concrete, using airhammer, to facilitate installation, construction, or repair of equipment.",1
"Break systems into their components, assign numerical values to each component, and examine the mathematical relationships between them.",2
"Break out, rig, and stow cargo-handling gear, stationary rigging, or running gear.",1
"Break or cut bricks, tiles, or blocks to size, using trowel edge, hammer, or power saw.",1
"Break asphalt and other pavement so that pipes can be accessed, using airhammers, picks, and shovels.",1
Braze or solder parts to repair defective joints and leaks.,1
"Brand, tattoo, or tag animals to allow animal identification.",1
Brace parts in position within hulls or ships for riveting or welding.,1
"Bore or cut holes in flooring as required for installation, using hand or power tools.",1
"Bore holes or cut grates, risers, or pouring spouts in molds, using power tools.",2
"Bore holes for insertion of screws or dowels, by hand or using boring machines.",1
"Bore boltholes in timber, masonry or concrete walls, using power drill.",1
"Book transportation and hotel reservations, using computer or telephone.",1
Book tickets for guests for local tours and attractions.,1
"Bond wood reinforcing strips to decks and cabin structures of watercraft, using resin-saturated fiberglass.",1
Bolt together pump and engine parts.,1
"Bolt together pump and engine parts, and connect tanks and flow lines.",1
"Bolt parts, such as side and deck plates, jaw plates, and journals, to basic assembly unit.",1
"Bolt or weld steel rails to the walls of shafts to guide elevators, working from scaffolding or platforms.",2
"Bolt or arc weld pressure vessel structures and parts together, using wrenches or welding equipment.",1
"Bolt equipment into place, using hand or power tools.",1
"Bolt component parts together to form tower assemblies, using hand tools.",1
"Bolt aligned structural steel members in position for permanent riveting, bolting, or welding into place.",1
"Blow tubing into specified shapes to prevent glass from collapsing, using compressed air or own breath, or blow and rotate gathers in molds or on boards to obtain final shapes.",1
Block or shape knitted garments after cleaning.,1
Block or rope off scene and check perimeter to ensure that entire scene is secured.,1
"Blend marble chip mixtures, place into panels, and push a roller over the surface to embed the chips.",2
Blend compounds to form adhesive mixtures used for marker installation.,1
"Bleach, dye, or tint hair, using applicator or brush.",1
"Bleach, clean, or polish teeth to restore natural color.",1
Bleach discolored teeth to brighten and whiten them.,1
Blast rock formations and rocky areas with dynamite to facilitate posthole digging.,1
"Bind new books, using hand tools such as bone folders, knives, hammers, or brass binding tools.",1
"Bill customers for repair work, and collect payment.",1
"Bend, form, and shape fabric or material to conform to prescribed contours of structural components.",1
Bend steel rods with hand tools or rod-bending machines and weld them with arc-welding equipment.,1
"Bend parts, such as hairsprings, pallets, barrel covers, and bridges, to correct deficiencies in truing or endshake, using tweezers.",1
"Bend inner coils of springs away from or toward collets, using tweezers, to locate centers of collets in centers of springs, and to correct errors resulting from faulty colleting of coils.",1
"Bell, bead with power hammers, or weld pressure vessel tube ends to ensure leakproof joints.",1
"Become familiar with digging plans, machine capabilities and limitations, and efficient and safe digging procedures in a given application.",1
Bathe patients.,1
"Bathe animals, clip nails or claws, and brush or cut animals' hair.",1
Bathe and groom animals.,2
Baste edges of material to align and temporarily secure parts for final assembly.,1
Balance receipts and payments in cash registers.,1
"Balance currency, coin, and checks in cash drawers at ends of shifts and calculate daily transactions, using computers, calculators, or adding machines.",1
Balance cash receipts.,1
Balance cash and payroll accounts.,1
Balance and adjust gameplay experiences to ensure the critical and commercial success of the product.,1
"Bake, roast, broil, and steam meats, fish, vegetables, and other foods.",1
"Bake finishes on painted or enameled articles, using baking ovens.",1
"Bake breads, rolls, or other pastries.",1
"Bake breads, rolls, cakes, and pastries.",1
"Bag, box, wrap, or gift-wrap merchandise, and prepare packages for shipment.",2
Bag or package purchases and wrap gifts.,1
Backfill piping trenches to protect pipes from damage.,1
Back up or modify applications and related data to provide for disaster recovery.,2
Back up network data.,1
Back up files from Web sites to local directories for instant recovery in case of problems.,1
Award compensation for damages to litigants in civil cases in relation to findings by juries or by the court.,1
Automate the deployment of software updates over geographically distributed network nodes.,1
Automate assays on laboratory robotics.,1
"Authorize release of fuel cell parts, components, or subsystems for production.",1
Authorize reinsurance of policy when risk is high.,1
Authorize payment of valid claims.,1
Authorize payment of valid claims and determine method of payment.,2
Authorize payment of invoices or return of merchandise.,2
Authorize or sign mail collection letters.,1
Authorize maintenance activities on units or changes in equipment or system operational status.,1
Authorize drug refills and provide prescription information to pharmacies.,1
Authorize actions to correct identified operational inefficiencies or hazards so that operating efficiency is maximized and potential environmental issues are minimized.,1
Authenticate and appraise historical documents and archival materials.,1
Audition performers for one or more dance parts.,1
"Audition for orchestras, bands, or other musical groups.",1
Audition for dance roles or for membership in dance companies.,1
Audition and select performers for musical presentations.,2
Audition and interview performers to match their attributes to specific roles or to increase the pool of available acting talent.,1
"Audit payroll and personnel records to determine unemployment insurance premiums, workers' compensation coverage, liabilities, and compliance with tax laws.",1
Audit and inspect subcontractor facilities including external laboratories.,1
"Attend workshops, seminars, or professional meetings to remain informed of new developments in school psychology.",1
"Attend workshops, seminars, or conferences to present or obtain information regarding fire prevention and protection.",1
"Attend workshops, seminars, or conferences to obtain program ideas, information, or resources.",1
Attend training sessions to increase knowledge and skills.,1
Attend training sessions or corporate planning meetings to obtain new ideas for product launches.,1
"Attend training classes to maintain current knowledge of fire prevention, safety, and firefighting procedures.",1
"Attend training classes to maintain certification licensure, keep abreast of new developments in the field, or maintain existing knowledge.",2
Attend trade shows and seminars to promote products or to learn about industry developments.,1
"Attend to the needs of the bereaved, such as by offering comfort, counseling, or after-care programs.",1
Attend to special needs of tour participants.,1
Attend to needs of athletic teams in clubhouses.,1
"Attend to children's basic needs by feeding them, dressing them, or changing their diapers.",1
"Attend to children's basic needs by feeding them, dressing them, and changing their diapers.",1
"Attend staff meetings and serve on staff committees, as required.",1
"Attend staff meetings and serve on committees, as required.",10
Attend staff meetings and serve on committees as required.,2
"Attend staff conferences to provide management with information and proposals concerning the promotion, distribution, design, and pricing of company products or services.",1
Attend scheduled practice or training sessions.,1
"Attend sales or trade meetings or read related publications to obtain information about market conditions, business trends, regulations, or industry developments.",2
"Attend sales or trade meetings or read related publications to obtain information about market conditions, business trends, environmental regulations, or industry developments.",2
"Attend sales meetings, industry trade shows, and training seminars to gather information, promote products, expand network of contacts, and increase knowledge.",2
Attend rehearsals and production meetings to obtain and share information related to sets.,1
"Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships.",1
"Attend professional meetings, read literature, and participate in training or other educational offerings to keep abreast of new developments and technologies related to disaster recovery and business continuity.",1
"Attend professional meetings, educational conferences, or teacher training workshops to maintain or improve professional competence.",3
"Attend professional meetings, educational conferences, or teacher training workshops to improve professional competence.",1
"Attend professional meetings, educational conferences, and teacher training workshops to maintain and improve professional competence.",9
"Attend professional meetings, conferences, and workshops to maintain and improve professional competence.",2
Attend professional conferences to share information.,2
Attend press conferences to gather information for broadcast.,1
"Attend preflight briefings concerning weather, altitudes, routes, emergency procedures, crew coordination, lengths of flights, food and beverage services offered, and numbers of passengers.",1
Attend photo shoots and printing sessions to ensure that the products needed are obtained.,1
Attend or view productions to maintain knowledge of available actors.,1
"Attend or participate in conferences, community events, and promotional events related to products or technologies.",1
Attend or make presentations at community events to promote funeral home services or build community relationships.,1
"Attend or conduct continuing education courses, seminars, or in-service activities.",2
"Attend meetings, trade shows, conferences, conventions, and seminars to network with people in other purchasing departments.",1
"Attend meetings, seminars, and programs to learn about new products and services, learn new skills, and receive technical assistance in developing new accounts.",2
"Attend meetings, professional seminars, or conferences to keep abreast of changes in executive legislative directives or new technologies impacting security operations.",1
"Attend meetings, educational conferences, and training workshops, and serve on committees.",1
"Attend meetings, conventions, and civic events to promote use of institution's services, to seek financing, and to maintain community alliances.",1
"Attend meetings, conferences, and workshops related to emergency management to learn new information and to develop working relationships with other emergency management specialists.",1
Attend meetings to record minutes.,1
Attend meetings or seminars to obtain information for use in training programs or to inform management of training program status.,1
Attend meetings or seminars or read current literature to maintain knowledge of developments in the field of remote sensing.,2
Attend meetings on driver and passenger safety to learn ways in which job performance might be affected.,1
Attend mediations or trials.,1
"Attend legal meetings, such as client interviews, hearings, or depositions, and take notes.",1
"Attend lectures, conferences, or continuing education courses.",1
Attend lectures given by the supervising instructor.,1
Attend investment briefings or consult financial media to stay abreast of relevant investment markets.,1
Attend interdisciplinary meetings with other health care professionals to discuss patient care.,2
Attend inpatient consultations in areas of specialty.,1
"Attend in-service training, workshops, or meetings to keep abreast of current practices or trends in adapted physical education.",1
Attend in-service training to validate or refresh basic professional skills.,1
Attend hospital in-service programs related to areas of work specialization.,1
Attend fashion shows and review garment magazines and manuals to gather information about fashion trends and consumer preferences.,1
Attend court sessions to hear oral arguments or record necessary case information.,1
Attend continuing education programs that address laboratory issues.,1
Attend continuing education courses to maintain or update skills.,2
Attend continuing education classes.,1
"Attend conferences, workshops, or other training sessions to learn about new tools or methods.",1
Attend company training seminars to become familiar with product lines.,1
Attend company meetings to exchange product information and coordinate work activities with other departments.,1
Attend community meetings or health fairs to understand community issues or build relationships with community members.,1
"Attend community events, meetings, or conferences to promote organizational goals or solicit donations or sponsorships.",2
Attend clinical and research conferences and read scientific literature to keep abreast of technological advances and current genetic research findings.,2
Attend care plan meetings to review patient progress and update care plans.,1
"Attend book launches and publicity events, or conduct public readings.",1
Attend auditions and casting calls to audition for roles.,1
Attend and participate in meetings of municipal councils or council committees.,1
Attempt to sell additional merchandise or services to prospective or current customers by telephone or through visits.,1
"Attempt to limit problems and liability related to customers' excessive drinking by taking steps such as persuading customers to stop drinking, or ordering taxis or other transportation for intoxicated patrons.",2
"Attach, fasten, and disconnect cables or lines to loads, materials, and equipment, using hand tools.",1
"Attach, alter, and trim materials such as wire, insulation, and coils, using hand tools.",1
"Attach workpieces to grinding machines and form specified sections and repair cracks, using welding or brazing equipment.",2
Attach wires from planted trees to support stakes.,1
Attach wires between controllers.,1
"Attach wigs or hairpieces to model heads and dress wigs and hairpieces according to instructions, samples, sketches or photographs.",1
"Attach trocar to pump-tube, start pump, and repeat probing to force embalming fluid into organs.",1
"Attach test instruments to equipment, and read dials and gauges to diagnose malfunctions.",1
"Attach tape, trim, appliques, or elastic to specified garments or garment parts, according to item specifications.",1
"Attach solar panels to existing roofs, according to specifications and without damaging roofing materials or the structural integrity of buildings.",1
"Attach slings, ropes, or cables to objects such as pipes, hoses, or bundles.",1
"Attach slings, hooks, or other devices to lift cargo and guide loads.",1
Attach sheets of metal to roof boards or building frameworks when installing metal roofs.,1
Attach sandpaper to rollers of sanding machines.,1
Attach ropes or cable lines to bitts on lock decks or wharfs to secure vessels.,1
Attach roofing paper to roofs in overlapping strips to form bases for other materials.,1
"Attach roofing paper and composition shingles, using nails.",1
Attach rigging and signal crane or hoist operators to lift heavy frame and plate sections or other parts into place.,2
Attach rails or tension wire along bottoms of posts to form fencing frames.,1
Attach pumps and hoses to wellheads.,1
"Attach pulleys and blocks to fixed overhead structures, such as beams, ceilings, and gin pole booms, using bolts and clamps.",1
"Attach prostheses to performers and apply makeup to create special features or effects, such as scars, aging, or illness.",1
"Attach pipes to walls, structures, or fixtures, such as radiators or tanks, using brackets, clamps, tools, or welding equipment.",2
"Attach physiological monitoring leads to patient's finger, chest, waist, or other body parts.",1
"Attach parts or subassemblies together to form completed units, using glue, dowels, nails, screws, or clamps.",1
Attach onboard diagnostics (OBD) scanner cables to vehicles to conduct emissions inspections.,1
"Attach nets, slings, hooks, blades, or lifting devices to cables, booms, hoists, or dredges.",1
Attach name plates and mark identifying information on parts.,1
"Attach moving parts and subassemblies to basic assembly unit, using hand tools and power tools.",1
"Attach loads to rigging to provide support or prepare them for moving, using hand and power tools.",1
"Attach insoles to shoe lasts, affix shoe uppers, and apply heels and outsoles.",1
Attach identifying tags to containers or mark them with identifying information.,1
"Attach identification labels to finished packaged items, or cut stencils and stencil information on containers, such as lot numbers or shipping destinations.",1
"Attach hoses or nozzles to machines, using wrenches and pliers, and make adjustments to obtain the proper dispersion of spray.",2
Attach hoses and operate pumps to transfer substances to and from liquid cargo tanks.,2
Attach handles to pottery pieces.,1
Attach guide shoes and rollers to minimize the lateral motion of cars as they travel through shafts.,1
"Attach fence rail supports to posts, using hammers and pliers.",1
"Attach fasteners, grommets, buttons, buckles, ornamental trim, and other accessories to covers or frames, using hand tools.",1
"Attach farm implements such as plows, discs, sprayers, or harvesters to tractors, using bolts and hand tools.",1
"Attach electrodes to the patients' chests, arms, and legs, connect electrodes to leads from the electrocardiogram (EKG) machine, and operate the EKG machine to obtain a reading.",2
"Attach electrodes to patients, using adhesives.",1
"Attach cross-arms, insulators, and auxiliary equipment to poles prior to installing them.",1
"Attach buttons, hooks, zippers, fasteners, or other accessories to fabric, using feeding hoppers or clamp holders.",1
"Attach brackets, hinges, or clips to secure or support components or subassemblies, using bolts, screws, rivets, chemical bonding, or welding.",1
Attach bindings or apply solutions to edges of cut material to prevent raveling.,1
"Attach and adjust guides, stops, clamps, chucks, or feed mechanisms, using hand tools.",2
"Attach air hoses to meter inlets, plug outlets, and observe gauges for pressure losses to test internal seams for leaks.",1
"Attach address labels, identification codes, and shipping instructions to containers.",1
Attach accessories or ornamentation to decorate or protect products.,1
"Attach ""out of order"" signs to malfunctioning machines, and notify technicians when machines need to be repaired or removed.",1
"Assist workers in tasks, such as loading vehicles.",1
Assist with placing caskets in hearses and organize cemetery processions.,2
Assist with patient resuscitation during cardiac arrest or other life-threatening events.,1
"Assist with operations of general facilities, such as visitor centers.",1
Assist with on-the-job training of new employees or students or provide input to supervisors regarding training performance.,1
"Assist with duties in other areas of the store, such as monitoring fitting rooms or bagging and carrying out customers' items.",2
Assist veterinarians in examining animals to determine the nature of illnesses or injuries.,1
Assist users in formulating Geographic Information Systems (GIS) requirements or understanding the implications of alternatives.,1
Assist travelers and guests with disabilities.,1
Assist students with boarding or exiting school buses.,2
"Assist students who need extra help, such as by tutoring and preparing and implementing remedial programs.",1
Assist students who need extra help with their coursework outside of class.,2
Assist speech-language pathologists in the remediation or development of speech and language skills.,1
"Assist speech-language pathologists in the conduct of client screenings or assessments of language, voice, fluency, articulation, or hearing.",1
Assist scientists or engineers in the conduct of photonic experiments.,1
"Assist pipe fitters in the layout, assembly, and installation of piping for air, ammonia, gas, and water systems.",1
"Assist physicians with procedures such as bronchoscopy, endoscopy, endotracheal intubation, or elective cardioversion.",1
Assist physicians or registered nurses in the conduct of endoscopic procedures.,1
"Assist physicians in the diagnosis and treatment of cardiac or peripheral vascular treatments, such as implanting pacemakers or assisting with balloon angioplasties to treat blood vessel blockages.",1
"Assist physicians in performing ophthalmic procedures, including surgery.",2
"Assist patrons in finding seats, lighting the way with flashlights, if necessary.",1
Assist patrons by giving directions to points in or outside of the facility or providing information about local attractions.,1
Assist patients to select eyewear.,1
Assist patients to insert or remove contact lenses.,1
"Assist patients to dress, undress, or put on and remove supportive devices, such as braces, splints, or slings.",2
Assist patients in organizing their health care system activities.,1
Assist pathologists or other physicians to collect cell samples by fine needle aspiration (FNA) biopsy or other method.,1
"Assist passengers, such as elderly or individuals with disabilities, on and off bus, ensure they are seated properly, help carry baggage, and answer questions about bus schedules or routes.",2
"Assist passengers in placing carry-on luggage in overhead, garment, or under-seat storage.",1
Assist passengers entering or disembarking the aircraft.,1
"Assist other restaurant workers by serving food and beverages, or by bussing tables.",1
"Assist ophthalmologists in diagnostic ophthalmic procedures, such as ultrasonography, fundus photography, and tonometry.",1
"Assist occupational therapists in planning, implementing, and administering therapy programs to restore, reinforce, and enhance performance, using selected activities and special equipment.",1
Assist nurses or physicians in the operation of medical equipment or provision of patient care.,2
Assist nanoscientists or engineers in writing process specifications or documentation.,1
Assist nanoscientists or engineers in processing or characterizing materials according to physical or chemical properties.,2
Assist members of surgical team with gowning or gloving.,2
"Assist mechanics and perform various mechanical duties, such as changing oil or checking and replacing batteries.",1
Assist mechanical engineers in product testing through activities such as setting up instrumentation for automobile crash tests.,1
Assist maternal patients to find physical positions that will facilitate childbirth.,1
Assist librarians in school libraries.,1
Assist individuals in filling out applications or questionnaires.,1
Assist in volume replacement or autotransfusion techniques.,1
"Assist in training technicians, medical students, residents, or other staff members.",1
Assist in training equipment operators or other staff on validation protocols and standard operating procedures.,1
Assist in the transition of photonic prototypes to production.,1
Assist in the provision of advanced life support techniques including those procedures using high frequency ventilation or intra-arterial cardiovascular assistance devices.,1
"Assist in the preparation of sealed radioactive materials, such as cobalt, radium, cesium, or isotopes, for use in radiation treatments.",1
Assist in the preparation of book displays.,1
"Assist in the insertion, positioning, or suturing of closed-wound drainage systems.",1
Assist in the evaluation or negotiation of contracts with vendors or online partners.,1
Assist in the development of online transaction or security policies.,1
"Assist in the development of document or content classification taxonomies to facilitate information capture, search, and retrieval.",2
Assist in the cleanup of hazardous material spills.,1
"Assist in the assessment, acquisition, or deployment of new electronic document management systems.",2
"Assist in the application of monitoring techniques, such as pulmonary artery catheterization, electroencephalographic spectral analysis, echocardiography, or evoked potentials.",1
Assist in setting up or optimizing analytics tools for tracking visitors' behaviors.,1
